k_150,k_100,k_50,k_25,k_8,job_category
hr_manager,hr_manager,hr_manager,hr_manager,Administrative,general & administrative
payroll_specialist,hr_manager,hr_manager,hr_manager,Administrative,general & administrative
recruiter,recruiter,recruiter,hr_manager,Administrative,general & administrative
barista,barista,barista,server,Administrative,general & administrative
chef,manager_|_restaurants,manager_|_restaurants,server,Administrative,general & administrative
manager_|_restaurants,manager_|_restaurants,manager_|_restaurants,server,Administrative,general & administrative
cashier_|_restaurants,cashier_|_restaurants,server,server,Administrative,general & administrative
crew_member,crew_member,server,server,Administrative,general & administrative
server,server,server,server,Administrative,general & administrative
manager_|_accounting,manager_|_accounting,audit_manager,audit_manager,Finance,general & administrative
senior_auditor,senior_auditor,audit_manager,audit_manager,Finance,general & administrative
tax_manager,tax_manager,tax_associate,audit_manager,Finance,general & administrative
tax_preparer,tax_preparer,tax_associate,audit_manager,Finance,general & administrative
administrative_assistant,executive_assistant,executive_assistant,executive_assistant,Finance,general & administrative
executive_assistant,executive_assistant,executive_assistant,executive_assistant,Finance,general & administrative
actuarial_analyst,agent,agent,financial_advisor,Finance,general & administrative
insurance_agent,agent,agent,financial_advisor,Finance,general & administrative
underwriter,agent,agent,financial_advisor,Finance,general & administrative
independent_distributor,independent_distributor,agent,financial_advisor,Finance,general & administrative
financial_advisor,financial_advisor,financial_advisor,financial_advisor,Finance,general & administrative
mortgage_loan_officer,mortgage_loan_officer,mortgage_loan_officer,financial_advisor,Finance,general & administrative
realtor,realtor,realtor,financial_advisor,Finance,general & administrative
accountant,financial_analyst,financial_analyst,financial_analyst,Finance,general & administrative
finance_manager,financial_analyst,financial_analyst,financial_analyst,Finance,general & administrative
financial_analyst,financial_analyst,financial_analyst,financial_analyst,Finance,general & administrative
banker,personal_banker,personal_banker,personal_banker,Finance,general & administrative
personal_banker,personal_banker,personal_banker,personal_banker,Finance,general & administrative
teller,teller,personal_banker,personal_banker,Finance,general & administrative
assistant_vice_president,assistant_vice_president,relationship_manager,vice_president_|_financial_services,Finance,general & administrative
branch_manager_|_banking,branch_manager_|_banking,relationship_manager,vice_president_|_financial_services,Finance,general & administrative
relationship_manager,relationship_manager,relationship_manager,vice_president_|_financial_services,Finance,general & administrative
associate_|_financial_services,associate_|_financial_services,vice_president_|_financial_services,vice_president_|_financial_services,Finance,general & administrative
credit_analyst,associate_|_financial_services,vice_president_|_financial_services,vice_president_|_financial_services,Finance,general & administrative
investment_banking_analyst,investment_banking_analyst,vice_president_|_financial_services,vice_president_|_financial_services,Finance,general & administrative
vice_president_|_financial_services,vice_president_|_financial_services,vice_president_|_financial_services,vice_president_|_financial_services,Finance,general & administrative
senior_buyer,buyer,buyer,manager,Management,general & administrative
supply_chain_manager,buyer,buyer,manager,Management,general & administrative
merchandiser,merchandiser,buyer,manager,Management,general & administrative
branch_manager,branch_manager,manager,manager,Management,general & administrative
concierge,concierge,manager,manager,Management,general & administrative
property_manager,concierge,manager,manager,Management,general & administrative
sales_manager_|_hospitality,concierge,manager,manager,Management,general & administrative
assistant_manager,manager,manager,manager,Management,general & administrative
manager,manager,manager,manager,Management,general & administrative
security_officer,security_officer,manager,manager,Management,general & administrative
analyst,consultant,consultant,owner,Management,general & administrative
consultant,consultant,consultant,owner,Management,general & administrative
consultant_|_management_consulting,consultant,consultant,owner,Management,general & administrative
asset_manager,associate,director,owner,Management,general & administrative
associate,associate,director,owner,Management,general & administrative
owner,owner,director,owner,Management,general & administrative
vice_president,vice_president,director,owner,Management,general & administrative
coordinator,intern,senior_manager,owner,Management,general & administrative
gerente,intern,senior_manager,owner,Management,general & administrative
intern,intern,senior_manager,owner,Management,general & administrative
program_manager,program_manager,senior_manager,owner,Management,general & administrative
technical_writer,program_manager,senior_manager,owner,Management,general & administrative
retired,retired,senior_manager,owner,Management,general & administrative
senior_manager,senior_manager,senior_manager,owner,Management,general & administrative
team_leader,senior_manager,senior_manager,owner,Management,general & administrative
trainer,trainer,senior_manager,owner,Management,general & administrative
store_manager,store_manager,store_manager,store_manager,Management,general & administrative
analyst_|_information_technology_services,analyst_|_information_technology_services,analyst_|_information_technology_services,business_analyst,Engineer,research & development
system_engineer_|_information_technology_services,analyst_|_information_technology_services,analyst_|_information_technology_services,business_analyst,Engineer,research & development
systems_analyst,analyst_|_information_technology_services,analyst_|_information_technology_services,business_analyst,Engineer,research & development
software_test_engineer,software_test_engineer,analyst_|_information_technology_services,business_analyst,Engineer,research & development
business_analyst,business_analyst,business_analyst,business_analyst,Engineer,research & development
business_analyst_|_financial_services,business_analyst,business_analyst,business_analyst,Engineer,research & development
project_manager_|_financial_services,business_analyst,business_analyst,business_analyst,Engineer,research & development
network_engineer,network_engineer,network_engineer,business_analyst,Engineer,research & development
technical_support_engineer,network_engineer,network_engineer,business_analyst,Engineer,research & development
director_product_management,product_owner,product_owner,business_analyst,Engineer,research & development
web_developer,product_owner,product_owner,business_analyst,Engineer,research & development
consultant_|_information_technology_services,consultant_|_information_technology_services,project_manager_|_information_technology_services,business_analyst,Engineer,research & development
project_manager_|_information_technology_services,project_manager_|_information_technology_services,project_manager_|_information_technology_services,business_analyst,Engineer,research & development
design_engineer,engineer,engineer,engineer,Engineer,research & development
engineer,engineer,engineer,engineer,Engineer,research & development
engineer_|_aviation_aerospace,engineer_|_aviation_aerospace,engineer,engineer,Engineer,research & development
manufacturing_engineer,process_engineer,process_engineer,engineer,Engineer,research & development
process_engineer,process_engineer,process_engineer,engineer,Engineer,research & development
production_supervisor,production_supervisor,process_engineer,engineer,Engineer,research & development
quality_engineer,quality_engineer,process_engineer,engineer,Engineer,research & development
construction_manager,construction_manager,project_manager,project_manager,Engineer,research & development
document_controller,project_engineer,project_manager,project_manager,Engineer,research & development
project_engineer,project_engineer,project_manager,project_manager,Engineer,research & development
engineering_manager,project_manager,project_manager,project_manager,Engineer,research & development
project_manager,project_manager,project_manager,project_manager,Engineer,research & development
principal_software_engineer,principal_software_engineer,software_engineer,software_engineer,Engineer,research & development
rf_engineer,rf_engineer,software_engineer,software_engineer,Engineer,research & development
senior_engineer_|_wireless,senior_engineer_|_wireless,software_engineer,software_engineer,Engineer,research & development
software_engineer,software_engineer,software_engineer,software_engineer,Engineer,research & development
software_engineer_|_internet,software_engineer_|_internet,software_engineer_|_internet,software_engineer,Engineer,research & development
pharmacist,pharmacist,pharmacist,pharmacist,Scientist,research & development
pharmacy_technician,pharmacy_technician,pharmacist,pharmacist,Scientist,research & development
case_manager,physical_therapist,rn,rn,Scientist,research & development
coach,physical_therapist,rn,rn,Scientist,research & development
doctor,physical_therapist,rn,rn,Scientist,research & development
physical_therapist,physical_therapist,rn,rn,Scientist,research & development
registered_nurse,registered_nurse,rn,rn,Scientist,research & development
clinical_research_associate,clinical_research_associate,clinical_research_associate,scientist,Scientist,research & development
geologist,geologist,geologist,scientist,Scientist,research & development
manager_|_pharmaceuticals,manager_|_pharmaceuticals,scientist,scientist,Scientist,research & development
chemist,scientist,scientist,scientist,Scientist,research & development
scientist,scientist,scientist,scientist,Scientist,research & development
scientist_|_pharmaceuticals,scientist,scientist,scientist,Scientist,research & development
assistant_director_admissions,assistant_director_admissions,student,scientist,Scientist,research & development
student,student,student,scientist,Scientist,research & development
teacher,teacher,student,scientist,Scientist,research & development
aircraft_mechanic,aircraft_mechanic,pilot,pilot,Technician,research & development
flight_attendant,flight_attendant,pilot,pilot,Technician,research & development
pilot,pilot,pilot,pilot,Technician,research & development
driver,driver,driver,technician,Technician,research & development
area_manager_|_internet,operations_manager_|_package_freight_delivery,driver,technician,Technician,research & development
terminal_manager,operations_manager_|_package_freight_delivery,driver,technician,Technician,research & development
package_handler,package_handler,driver,technician,Technician,research & development
material_handler,operator,technician,technician,Technician,research & development
operator,operator,technician,technician,Technician,research & development
electrician,supervisor_|_oil_energy,technician,technician,Technician,research & development
maintenance_supervisor,supervisor_|_oil_energy,technician,technician,Technician,research & development
supervisor_|_oil_energy,supervisor_|_oil_energy,technician,technician,Technician,research & development
service_manager,technician,technician,technician,Technician,research & development
technician,technician,technician,technician,Technician,research & development
freelance_writer,freelance_writer,producer,product_manager,Marketing,sales & marketing
actor,photographer,producer,product_manager,Marketing,sales & marketing
photographer,photographer,producer,product_manager,Marketing,sales & marketing
producer,producer,producer,product_manager,Marketing,sales & marketing
account_director,account_director,product_manager,product_manager,Marketing,sales & marketing
designer,designer,product_manager,product_manager,Marketing,sales & marketing
marketing_manager,marketing_manager,product_manager,product_manager,Marketing,sales & marketing
product_manager,marketing_manager,product_manager,product_manager,Marketing,sales & marketing
account_manager,account_manager,account_manager,account_manager,Sales,sales & marketing
account_manager_|_transportation_trucking_railroad,account_manager,account_manager,account_manager,Sales,sales & marketing
sales,sales,account_manager,account_manager,Sales,sales & marketing
sales_engineer,sales,account_manager,account_manager,Sales,sales & marketing
avon_representative,sales_associate_|_real_estate,account_manager,account_manager,Sales,sales & marketing
sales_associate_|_real_estate,sales_associate_|_real_estate,account_manager,account_manager,Sales,sales & marketing
territory_manager_|_chemicals,territory_manager_|_chemicals,account_manager,account_manager,Sales,sales & marketing
account_manager_|_information_technology_services,account_manager_|_information_technology_services,account_manager_|_information_technology_services,account_manager,Sales,sales & marketing
global_account_manager,account_manager_|_information_technology_services,account_manager_|_information_technology_services,account_manager,Sales,sales & marketing
customer_service_representative,customer_service_representative,customer_service_representative,customer_service_representative,Sales,sales & marketing
customer_service_representative_|_telecommunications,customer_service_representative_|_telecommunications,customer_service_representative,customer_service_representative,Sales,sales & marketing
retail_sales_consultant,retail_sales_consultant,retail_sales_consultant,customer_service_representative,Sales,sales & marketing
specialist_|_consumer_electronics,retail_sales_consultant,retail_sales_consultant,customer_service_representative,Sales,sales & marketing
pharmaceutical_sales_representative,product_specialist,product_specialist,product_specialist,Sales,sales & marketing
product_specialist,product_specialist,product_specialist,product_specialist,Sales,sales & marketing
cashier,cashier,cashier,sales_associate,Sales,sales & marketing
customer_assistant,sales_associate,sales_associate,sales_associate,Sales,sales & marketing
sales_associate,sales_associate,sales_associate,sales_associate,Sales,sales & marketing
visual_merchandiser,sales_associate,sales_associate,sales_associate,Sales,sales & marketing
sales_associate_|_retail,sales_associate_|_retail,sales_associate,sales_associate,Sales,sales & marketing
